id,value,feed_id,created_at,lat,lon,ele
0FR5C0N98AN0Q7D0H98M6JE05N,92.6462,2942772,2024-11-22 20:40:19 UTC,,,
0FR5C1ZQEKKF89RAFPBMZ7F813,94.3315,2942772,2024-11-22 20:42:38 UTC,,,
0FR5C4NYC6P4HSMZWBXG04FBPB,100.23,2942772,2024-11-22 20:47:21 UTC,,,
0FR5CAET013W054FZCFGR3VFZH,106.129,2942772,2024-11-22 20:57:27 UTC,,,
0FR5CDCACSH9FFKW9B9FX53JMX,107.814,2942772,2024-11-22 21:02:33 UTC,,,
0FR5CEV43TCBKRNN2MR72CXGDN,105.286,2942772,2024-11-22 21:05:06 UTC,,,
0FR5CHN85DW8GARE31GK6NS507,102.758,2942772,2024-11-22 21:10:02 UTC,,,
0FR5CK0XB9TESQDSG6JTH62JWD,101.915,2942772,2024-11-22 21:12:25 UTC,,,
0FR5CP2HNSB6CYE0X02VQ42GFJ,103.601,2942772,2024-11-22 21:17:45 UTC,,,
0FR5CQE1VXF06060Q5RR1D3ZHA,104.443,2942772,2024-11-22 21:20:07 UTC,,,
0FR5EDP7WRASBZD38VE8VW1WYY,103.601,2942772,2024-11-22 22:54:56 UTC,,,
0FR5ENE1261FFSBZTFJVZ5QP9T,93.4888,2942772,2024-11-22 23:08:28 UTC,,,
0FR5ER33749965M08KYZGSEZYS,94.3315,2942772,2024-11-22 23:13:07 UTC,,,
0FR5EW5T64PQW321WH30B3JDN0,93.4888,2942772,2024-11-22 23:20:15 UTC,,,
0FR5EZ483GX0H9QJ029DK9BZYM,89.2756,2942772,2024-11-22 23:25:25 UTC,,,
0FR5F22N6ZJ90SQQHVVWN09T1E,90.9609,2942772,2024-11-22 23:30:34 UTC,,,
0FR5F555J8X9AJRJ731G79YQM1,87.5904,2942772,2024-11-22 23:35:57 UTC,,,
0FR5F55813SCG7AAZ2STAS9BYH,87.5904,2942772,2024-11-22 23:35:57 UTC,,,
0FR5F6KYQ87HVVCV3FWGMKAACT,86.7477,2942772,2024-11-22 23:38:30 UTC,,,
0FR5F995NZECKDZKQKQAKK1NXE,85.905,2942772,2024-11-22 23:43:10 UTC,,,
0FR5FAMK9BY9H96DH38RH2SS72,82.5345,2942772,2024-11-22 23:45:32 UTC,,,
0FR5FG7EZ2AC1RHMB6BYF7HKDZ,81.6918,2942772,2024-11-22 23:55:18 UTC,,,
0FR5FKDSSG0H42RWD7D9RF26FC,82.5345,2942772,2024-11-23 00:00:53 UTC,,,
0FR5FMS9Y6QZTT12ER37VQ6314,81.6918,2942772,2024-11-23 00:03:16 UTC,,,
0FR5FQQHNYF2P6GA6DE3BVK7CJ,81.6918,2942772,2024-11-23 00:08:25 UTC,,,
0FR5FTCVD3YF0YEF2KEX0DE1T4,79.1639,2942772,2024-11-23 00:13:04 UTC,,,
0FR5FXB36MX5YVS45G4D2HFDGD,74.9507,2942772,2024-11-23 00:18:13 UTC,,,
0FR5G00H21NNWFNARKPV3AP9VY,76.6359,2942772,2024-11-23 00:22:53 UTC,,,
0FR5G2M7SS3B7MX1S2ESBN0R1P,79.1639,2942772,2024-11-23 00:27:27 UTC,,,
0FR5G3ZRM0VV60XDSYCZHSTMBZ,74.9507,2942772,2024-11-23 00:29:50 UTC,,,
0FR5G6SHSPH2YZEFA6XN5ZAV6T,72.4227,2942772,2024-11-23 00:34:44 UTC,,,
0FR5G9QP2MQ4TBCZ8EJMJ6P6GN,75.7933,2942772,2024-11-23 00:39:53 UTC,,,
0FR5GB38P66S4RR22MWEE51MKM,72.4227,2942772,2024-11-23 00:42:15 UTC,,,
0FR5GDTD79KFHZ0PVKJHM3AAG5,76.6359,2942772,2024-11-23 00:47:01 UTC,,,
0FR5GGE3G07C012BDDPST5J81V,74.9507,2942772,2024-11-23 00:51:35 UTC,,,
0FR5GKC93V3R9K826JVK4GMF0P,74.9507,2942772,2024-11-23 00:56:44 UTC,,,
0FR5GMQPYWCK7GY22ACG0CYJ8K,74.108,2942772,2024-11-23 00:59:06 UTC,,,
0FR5GQHZDRZ10QNC8DMK6T66Y2,72.4227,2942772,2024-11-23 01:04:02 UTC,,,
0FR5GT7B54YMCS2MJ5J0Y2T9W4,74.108,2942772,2024-11-23 01:08:42 UTC,,,
0FR5GVMEJN3EGCKE0MEX7KPDSW,74.9507,2942772,2024-11-23 01:11:09 UTC,,,
0FR5GY9VYB112BC829QRYPQVQ2,74.108,2942772,2024-11-23 01:15:49 UTC,,,
0FR5H17Z47W2SQEH1SRMRSXKZG,68.2094,2942772,2024-11-23 01:20:58 UTC,,,
0FR5H4625T5MBRDV8E1FYM5BTJ,70.7374,2942772,2024-11-23 01:26:06 UTC,,,
0FR5H6EC12G2V2A7308J68F5WF,71.5801,2942772,2024-11-23 01:30:03 UTC,,,
